in:dy_4,in:dy_0,out:Displacement,out:Mass,img
-2,-1,0.075113,175.493975,dy_4-2_dy_0-1.png
-1.2,-1,0.144509,159.77928,dy_4-1.2_dy_0-1.png
-0.4,-1,0.409693,155.107415,dy_4-0.4_dy_0-1.png
0.4,-1,0.171212,162.794593,dy_40.4_dy_0-1.png
1.2,-1,0.072224,180.740614,dy_41.2_dy_0-1.png
2,-1,0.054033,205.295725,dy_42_dy_0-1.png
-2,-0.6,0.062049,160.865179,dy_4-2_dy_0-0.6.png
-1.2,-0.6,0.139581,144.100461,dy_4-1.2_dy_0-0.6.png
-0.4,-0.6,0.31304,139.826023,dy_4-0.4_dy_0-0.6.png
0.4,-0.6,0.142423,148.905459,dy_40.4_dy_0-0.6.png
1.2,-0.6,0.069153,168.208565,dy_41.2_dy_0-0.6.png
2,-0.6,0.053743,193.794475,dy_42_dy_0-0.6.png
-2,-0.2,0.050244,149.524176,dy_4-2_dy_0-0.2.png
-1.2,-0.2,0.127931,131.211081,dy_4-1.2_dy_0-0.2.png
-0.4,-0.2,0.223412,127.562043,dy_4-0.4_dy_0-0.2.png
0.4,-0.2,0.125986,138.492055,dy_40.4_dy_0-0.2.png
1.2,-0.2,0.069581,159.270991,dy_41.2_dy_0-0.2.png
2,-0.2,0.055593,185.844867,dy_42_dy_0-0.2.png
-2,0.2,0.05013,140.819652,dy_4-2_dy_00.2.png
-1.2,0.2,0.100884,120.101796,dy_4-1.2_dy_00.2.png
-0.4,0.2,0.160864,117.547147,dy_4-0.4_dy_00.2.png
0.4,0.2,0.124504,130.874895,dy_40.4_dy_00.2.png
1.2,0.2,0.073802,153.09888,dy_41.2_dy_00.2.png
2,0.2,0.059248,180.516853,dy_42_dy_00.2.png
-2,0.6,0.058365,134.751607,dy_4-2_dy_00.6.png
-1.2,0.6,0.07506,110.251294,dy_4-1.2_dy_00.6.png
-0.4,0.6,0.140744,109.840521,dy_4-0.4_dy_00.6.png
0.4,0.6,0.140083,125.833163,dy_40.4_dy_00.6.png
1.2,0.6,0.081378,149.179108,dy_41.2_dy_00.6.png
2,0.6,0.064101,177.175633,dy_42_dy_00.6.png
-2,1,0.067895,121.090701,dy_4-2_dy_01.png
-1.2,1,0.085711,101.591559,dy_4-1.2_dy_01.png
-0.4,1,0.170997,99.572698,dy_4-0.4_dy_01.png
0.4,1,0.188371,108.277221,dy_40.4_dy_01.png
1.2,1,0.096436,123.352868,dy_41.2_dy_01.png
2,1,0.073028,142.852011,dy_42_dy_01.png
